X Coordinate (km),Y Coordinate (km),Measured Depth (m),Deviation (deg),Abandoned (True/False),Surface-Casing Weight (kg/m),Production-Casing Size (mm),Cumulative GAS Prod. (e3m3),Month Well Spudded,Classification,Emission Rate (m3/day)
559.3,136.1,515.5,,True,35.7,139.7,32683.3,41.4,Non Serious,44.41882940054663
441.3,379.5,2568.6,30.381232092150356,True,59.5,177.8,32683.5,410.2,Serious,50.54000086788781
216.7,602.6,514.0,,True,,139.7,,128.0,Non Serious,45.396938720328855
642.5,521.2,636.2,,False,,114.3,,289.0,Non Serious,39.4793079387315
515.4,510.2,1290.0,,False,,114.3,32683.5,0.0,Non Serious,49.55711523343939
416.6,383.9,1735.5,9.374864514773417,False,,139.7,32683.5,0.0,Serious,50.583874391072094
452.7,374.1,462.3,11.470913995055664,True,35.7,114.3,32683.5,179.0,Non Serious,49.44181316346101
504.5,514.4,1747.0,,True,,114.3,32683.5,0.0,Serious,52.36677918931723
468.8,293.3,1010.0,,True,,114.3,32683.6,319.0,Non Serious,19.081717437999743
323.7,469.1,,,True,,139.7,32683.5,0.0,Serious,55.73042605513499
550.9,135.4,527.1,,False,35.7,139.7,,107.9,Non Serious,40.654634133719746
434.0,283.5,,,False,35.7,139.7,32683.5,266.0,Non Serious,46.51232300015765
619.0,617.4,531.7,,False,,177.8,32683.5,0.0,Non Serious,20.788708890490742
618.3,478.9,743.0,39.160785281416565,True,48.1,177.8,32683.6,500.9,Serious,55.7361702136589
321.3,234.0,,,True,59.5,177.8,32683.6,0.0,Serious,51.08035811255775
253.2,492.7,516.0,,False,35.7,139.7,32683.3,0.0,Non Serious,42.975370859301066
580.6,721.5,2118.4,46.66429741685953,True,96.7,,32683.5,791.0,Serious,50.82817089926227
26.2,688.4,914.0,,True,41.7,139.7,,265.8,Non Serious,45.14210661968148
440.0,617.0,956.1,0.7213044541737293,True,35.7,114.3,32683.5,383.0,Serious,60.18440762678029
115.8,1074.0,,31.674874523835697,True,53.6,139.7,32683.6,0.0,Serious,52.68013177760274
573.6,604.2,514.0,,False,48.1,177.8,32683.3,99.8,Non Serious,48.267670211934394
146.7,556.8,965.0,,True,35.7,139.7,32683.5,355.1,Serious,71.22829256604504
382.6,380.2,,,True,35.7,114.3,32683.5,0.0,Serious,65.91402156366522
247.1,471.7,664.4,,True,53.6,177.8,32683.5,115.0,Non Serious,41.76168928501862
388.3,492.4,2032.1,35.27110235807374,True,,,32683.7,498.7,Serious,56.4237869756277
576.8,616.3,750.0,,True,48.1,177.8,32683.5,0.0,Serious,56.92010965527082
50.2,639.9,1559.4,23.868674539781757,True,35.7,114.3,32683.5,352.0,Serious,54.54717570031906
248.6,583.9,759.3,17.39114117155356,True,,139.7,32683.6,0.0,Serious,53.691597936456446
611.3,573.1,1441.6,,True,48.1,177.8,32683.3,0.0,Non Serious,42.15539037602107
260.5,518.2,557.5,,True,35.7,139.7,,205.0,Non Serious,39.80042112614071
76.4,963.5,1381.2,25.258790516854088,False,53.6,139.7,32683.6,236.0,Non Serious,47.07561887865572
398.6,497.6,1124.8,,True,,114.3,32683.5,0.0,Serious,54.191891026697846
372.4,539.1,1418.0,,False,35.7,114.3,,201.4,Non Serious,34.72474603652822
634.6,409.7,1082.0,32.10164278867339,True,35.7,139.7,32683.6,490.0,Serious,53.711113169103704
534.9,263.9,,,True,35.7,139.7,32683.5,0.0,Non Serious,42.88615707230195
484.2,303.7,704.2,,True,35.7,139.7,32683.6,0.0,Serious,60.81372902134272
550.3,416.6,652.1,,False,,114.3,,0.0,Non Serious,48.87208432657579
620.4,530.0,422.3,,False,48.1,177.8,,121.0,Non Serious,48.33104228164339
439.4,527.3,602.6,,False,81.1,244.5,,0.0,Non Serious,39.12867133337279
379.9,682.7,,39.160785281416565,True,25.3,114.3,32683.5,0.0,Serious,61.67651592627563
21.6,692.0,1634.8,,False,53.6,114.3,32683.5,404.3,Serious,57.362917376942626
480.2,478.5,1102.3,,True,,114.3,,0.0,Non Serious,47.89188250225445
276.1,540.9,751.1,41.23399969580177,True,35.7,139.7,32683.5,199.0,Non Serious,49.13089006056106
72.7,762.2,1491.9,14.676533707459026,True,35.7,139.7,32683.6,435.8,Serious,56.117817496601965
611.6,531.7,668.7,,True,48.1,177.8,32683.5,328.5,Serious,57.18902002991636
635.4,403.8,344.2,,False,,139.7,32683.3,0.0,Non Serious,46.70947011767853
198.3,490.9,885.4,,True,53.6,114.3,32683.5,0.0,Non Serious,28.239785956286777
575.7,602.1,1031.8,33.30943018586988,False,53.6,177.8,32683.5,0.0,Non Serious,46.965800173188356
591.9,29.5,4165.4,45.44511415622267,True,,114.3,32683.6,0.0,Serious,53.037461165413156
379.7,638.8,1953.6,48.96627857655804,True,35.7,114.3,32683.6,616.0,Serious,54.76754229525185
492.9,79.5,1875.0,29.659738172140166,True,35.7,139.7,32683.6,620.9,Serious,50.40663172863927
620.5,346.5,1342.2,32.11943159371688,True,35.7,114.3,32683.6,0.0,Serious,56.765896817091146
134.7,1107.8,3473.6,36.191696865310846,True,48.1,139.7,32683.7,780.0,Serious,71.58562964124957
420.9,364.8,753.0,0.2636305792176939,True,,139.7,,324.0,Serious,57.18591507553142
168.4,472.6,1593.4,16.49937872861655,True,,,32683.5,533.0,Serious,56.104969008108874
175.5,528.0,1749.0,,False,53.5,114.3,32683.5,0.0,Serious,61.66848467915905
87.6,862.2,,,True,35.7,139.7,32683.5,0.0,Non Serious,46.33803516102684
25.0,726.7,1044.9,,False,,139.7,32683.5,0.0,Non Serious,42.04660160141465
626.3,387.7,601.0,,False,35.7,139.7,,0.0,Non Serious,44.5775129503618
322.3,307.9,802.5,,False,35.7,139.7,,466.0,Serious,53.10309559133185
609.0,447.6,1485.9,,True,48.0,177.8,32683.6,618.1,Serious,62.22018589857667
317.6,445.6,2100.8,,True,35.7,139.7,32683.5,415.6,Serious,57.96233927873557
454.4,52.9,699.1,,True,35.7,114.3,,184.0,Non Serious,47.53601512624241
350.1,355.7,,,True,,139.7,,0.0,Non Serious,47.69929131029896
317.4,850.4,992.7,,True,,139.7,32683.5,0.0,Serious,64.18186131089598
42.8,760.1,3408.4,49.79007474819154,True,35.7,114.3,32683.7,801.5,Serious,65.10280536393046
64.5,869.0,713.0,,False,35.7,139.7,32683.5,0.0,Non Serious,43.881972498555
534.0,390.2,1507.0,,True,,139.7,32683.5,475.1,Serious,50.79826236714009
472.7,384.4,1889.6,,True,35.7,114.3,32683.5,0.0,Serious,51.35353586781197
329.3,468.7,,12.843005207087355,True,41.6,139.7,32683.5,0.0,Serious,59.24866052015274
509.9,503.6,1115.5,44.96382207658051,True,25.3,114.3,32683.7,0.0,Serious,50.52663542619344
344.3,399.0,803.8,,False,53.6,139.7,,0.0,Non Serious,45.20073183972685
611.4,448.0,870.7,19.626487411883005,False,48.7,177.8,32683.5,0.0,Non Serious,45.630606449284656
109.1,798.1,,,False,35.7,139.7,,0.0,Non Serious,39.130537319759824
530.3,392.4,1405.9,19.98747968327149,False,35.7,114.3,32683.5,0.0,Non Serious,30.2245880513115
304.3,431.2,853.2,,True,35.7,,32683.5,0.0,Non Serious,39.965693203766534
425.5,364.2,2583.4,60.25527298844176,True,53.6,177.8,32683.6,627.0,Serious,56.09321060029057
513.8,434.1,636.7,,True,29.8,114.3,32683.5,0.0,Serious,61.172639638396525
173.6,536.6,,30.0834374082649,True,53.6,177.8,32683.5,0.0,Non Serious,43.162686290228194
612.8,404.5,557.6,,True,48.0,,,0.0,Serious,62.285220502981204
26.5,708.3,421.6,,True,,139.7,32683.5,0.0,Non Serious,45.343093840280986
524.5,360.1,,,True,,114.3,32683.5,0.0,Non Serious,46.75237436354219
41.0,787.1,,3.011539411812965,False,35.7,139.7,32683.5,0.0,Non Serious,48.163195196557425
16.9,748.1,982.2,,False,41.6,139.7,,0.0,Non Serious,36.42576197064011
122.7,943.6,1731.4,36.45416526823268,True,,139.7,,0.0,Serious,55.54421541169769
419.9,278.4,,,False,,139.7,32683.5,0.0,Non Serious,41.923480558959966
640.7,344.5,913.4,,False,62.6,,32683.5,248.3,Non Serious,40.38640856634803
572.5,454.7,1113.8,,True,35.7,139.7,,0.0,Serious,64.91521783417019
91.3,657.8,542.7,,False,17.3,,32683.3,150.3,Non Serious,41.016016486134184
626.3,283.8,2856.9,12.046344799726738,True,,177.8,32683.6,792.8,Serious,50.63752322049258
627.4,508.2,747.0,,True,48.1,177.8,32683.6,0.0,Non Serious,48.85994036448511
465.5,533.8,,,False,,114.3,,0.0,Non Serious,44.48300701298022
592.8,515.0,,23.20821390342425,True,48.1,177.8,32683.5,0.0,Serious,56.99599414979405
556.0,440.3,1355.3,,True,25.3,114.3,32683.6,403.0,Serious,60.96819918900961
313.5,375.2,3631.9,,True,,114.3,32683.5,0.0,Serious,52.52906130116409
528.6,168.7,2411.7,38.115868879311755,True,35.7,139.7,32683.6,478.0,Serious,50.42323338340482
609.9,585.8,718.9,,True,,114.3,32683.3,184.0,Non Serious,43.0901156839104
454.6,661.9,,10.075992857399186,False,25.3,114.3,32683.6,0.0,Serious,57.42459402996511
594.7,472.5,,,True,48.1,177.8,,128.0,Non Serious,43.053356359589294
448.3,536.9,1249.3,,True,,177.8,32683.5,0.0,Serious,61.75310414557153
406.8,122.5,2769.0,7.274125063038373,True,35.7,139.7,32683.7,455.0,Serious,56.00716369205385
517.6,181.8,645.8,,True,35.7,114.3,,0.0,Serious,53.20063680070095
471.2,105.8,694.2,,False,35.7,139.7,32683.6,294.0,Non Serious,37.58737101101991
613.1,523.0,1068.1,,True,48.1,177.8,32683.5,460.0,Serious,66.56981109367618
593.0,542.4,1166.2,,True,48.1,177.8,32683.5,0.0,Serious,51.315939487073535
110.5,1130.9,,,True,53.6,,32683.5,0.0,Non Serious,43.55115510364767
514.8,359.9,,,True,35.7,139.7,32683.5,0.0,Serious,57.746140520211114
592.2,603.5,1582.8,38.189319658414924,True,48.1,177.8,32683.6,0.0,Serious,60.320883935543364
553.8,443.2,,39.45297884287341,True,35.7,139.7,32683.6,0.0,Serious,53.59335634699573
147.6,763.4,922.0,,True,53.6,139.7,32683.6,0.0,Serious,54.59192235797758
511.3,475.1,4093.1,57.33212615140721,True,25.3,114.3,32683.6,673.3,Serious,60.446240867887866
626.9,339.4,3013.1,46.2699907692686,True,35.7,139.7,32683.6,697.9,Serious,51.238620803786695
615.5,181.3,2636.1,5.4252524115283265,True,,114.3,32683.5,520.1,Serious,58.97130737968873
332.5,396.9,,0.23171781271285308,True,,114.3,32683.6,0.0,Serious,63.34499860902348
411.8,596.2,,,False,25.3,114.3,,0.0,Serious,69.95664639106644
400.9,730.9,438.5,,False,25.3,73.0,32683.3,70.5,Non Serious,42.40522274641841
79.9,765.8,1101.9,,False,35.7,139.7,,0.0,Non Serious,49.65185093015309
614.3,491.3,,,True,,177.8,32683.6,0.0,Serious,64.53271171800263
616.1,588.2,,,True,48.1,177.8,32683.3,0.0,Non Serious,39.82601409967568
607.4,525.9,964.9,,True,48.1,177.8,32683.6,353.7,Serious,66.04331021432961
610.5,529.2,1694.3,7.668268057190451,False,35.7,139.7,32683.5,0.0,Non Serious,41.977365414887494
458.1,360.8,2720.1,28.19983362254262,True,,177.8,32683.6,560.7,Serious,52.21178409710787
37.8,786.1,581.0,,True,53.6,139.7,,0.0,Non Serious,32.655006065437505
279.0,835.2,865.0,,False,35.7,139.7,32683.5,0.0,Non Serious,41.935506466238266
510.4,212.4,,,True,,114.3,,0.0,Non Serious,48.14343581431205
86.4,960.6,728.8,41.10926946894365,True,53.6,,32683.6,0.0,Serious,53.71816876035824
604.9,545.3,2790.8,,True,,177.8,32683.6,535.7,Serious,50.69612033193783
595.5,526.3,338.1,,True,48.7,177.8,32683.3,52.4,Non Serious,49.25134431714031
127.2,1179.5,655.1,,False,,177.8,,143.4,Non Serious,48.22282491761038
618.7,529.2,,,True,48.7,177.8,32683.5,400.7,Serious,53.62168983518402
548.8,187.9,632.7,,True,,,,95.0,Non Serious,41.00410627258594
482.9,322.9,,25.143273129223154,True,29.8,114.3,32683.6,0.0,Serious,57.5315314713982
353.9,475.4,848.0,21.765560604920466,True,,139.7,32683.5,0.0,Non Serious,48.88853609037617
537.9,421.0,452.9,,True,,114.3,,176.0,Non Serious,42.466136975438175
351.3,692.6,2112.5,17.91595062351513,True,81.1,177.8,32683.5,813.2,Serious,63.81388071903022
438.1,362.7,,,True,35.7,139.7,32683.6,0.0,Serious,75.58643813343917
595.4,524.8,,27.36073680518036,True,,177.8,32683.5,0.0,Non Serious,42.773690425688876
556.6,442.1,386.9,,False,35.7,139.7,,0.0,Non Serious,41.236297097288826
608.0,593.2,1908.1,35.02239131141907,True,48.1,177.8,32683.6,814.6,Serious,67.52144756708861
575.7,616.0,,44.05046088857105,False,48.1,177.8,32683.6,0.0,Non Serious,36.531028872855345
349.1,397.5,972.2,,False,35.7,139.7,32683.6,0.0,Non Serious,45.98927878276273
104.2,745.4,,,True,35.7,139.7,,0.0,Non Serious,42.89479121557885
522.9,615.3,2080.8,27.845559754048615,True,25.3,114.3,32683.6,452.4,Serious,50.48818505984828
607.9,111.9,,,False,35.7,139.7,32683.6,0.0,Non Serious,38.30034840774816
95.8,957.9,2421.1,36.886224745589715,True,25.3,114.3,32683.6,678.7,Serious,57.01122528352708
593.8,464.8,1535.8,3.015681622035166,False,48.1,177.8,32683.5,563.6,Serious,62.57383834639116
538.0,241.8,1900.0,,True,35.7,139.7,,259.7,Non Serious,48.416103977908996
486.8,303.7,2118.4,14.518453004590429,True,35.7,139.7,32683.5,396.0,Serious,57.67966468103753
349.4,380.9,1464.5,,True,35.7,139.7,,0.0,Serious,63.82318265304684
591.9,530.6,832.7,,True,,177.8,,0.0,Serious,55.89907821241387
582.3,421.6,745.0,,False,35.7,139.7,32683.5,156.1,Non Serious,43.29678264083717
559.6,455.7,2244.5,54.8056568383956,True,35.7,139.7,32683.7,635.8,Serious,61.13080901299796
573.9,595.9,1000.9,,True,53.6,177.8,32683.6,449.3,Serious,61.973033371200934
536.3,222.3,972.2,,True,35.7,139.7,,266.0,Non Serious,43.291176689718434
110.8,723.7,607.0,,True,35.7,139.7,,121.5,Non Serious,41.02473260985573
581.0,598.7,611.9,30.360509003028653,True,48.1,177.8,32683.6,255.0,Non Serious,34.27991291476863
564.5,602.7,2060.4,,False,53.6,177.8,32683.5,468.4,Serious,58.55991387413289
618.8,671.8,,,True,25.3,114.3,32683.6,0.0,Serious,60.687792155794455
442.9,566.0,1526.8,45.383177995105484,True,35.7,114.3,32683.6,0.0,Serious,50.81870986980903
612.5,521.7,,,True,48.1,177.8,32683.5,0.0,Non Serious,46.152106907959684
535.4,238.7,939.8,,True,35.7,139.7,32683.5,0.0,Non Serious,29.657015841690786
360.4,373.1,1670.0,,False,,114.3,32683.6,0.0,Non Serious,45.61723819306541
629.5,470.5,,,True,,177.8,,69.0,Non Serious,49.16120804811502
167.7,562.4,,,False,35.7,114.3,,325.9,Serious,54.74367142113889
533.6,161.2,,,True,35.7,139.7,32683.5,0.0,Non Serious,26.901099847295878
617.1,590.3,,,True,48.1,177.8,32683.6,0.0,Serious,69.44391958694365
402.6,146.0,2829.3,40.14705829080502,True,35.7,139.7,32683.6,854.0,Serious,53.595799330875614
598.4,479.4,,15.153066642615594,False,48.1,177.8,32683.3,0.0,Non Serious,37.1171043003983
72.1,719.6,638.3,,False,53.6,139.7,,241.0,Non Serious,49.13195866502519
617.9,533.3,1474.3,5.114589292281643,True,48.1,177.8,32683.6,0.0,Serious,57.83818200251687
575.9,598.5,,,True,53.6,177.8,32683.5,0.0,Serious,54.73543852519718
580.7,720.8,,,False,25.3,114.3,32683.3,0.0,Non Serious,45.02383318602689
587.1,521.9,1705.0,,False,53.6,177.8,32683.5,318.2,Non Serious,36.328698090084615
75.2,751.6,,,False,59.5,139.7,32683.5,0.0,Non Serious,39.401966300869745
606.4,451.2,,,True,,177.8,,0.0,Non Serious,38.22589707054571
491.5,570.2,,,False,35.7,139.7,32683.6,0.0,Non Serious,49.626599492618034
601.6,525.6,1427.0,,True,48.1,177.8,,0.0,Serious,71.60036170605608
476.0,434.9,,42.484487616587764,True,,114.3,32683.5,539.0,Serious,52.53588411227704
348.3,368.9,,6.886742570701294,False,35.7,139.7,32683.5,0.0,Non Serious,35.93135035110581
601.8,593.9,549.7,,False,53.6,177.8,,0.0,Non Serious,44.59796164530521
124.2,785.4,,,True,35.7,139.7,32683.5,0.0,Non Serious,38.20882306913425
538.5,228.8,,,False,,139.7,32683.5,0.0,Non Serious,31.899531504138498
555.2,441.3,,,True,35.7,139.7,32683.6,0.0,Serious,60.22317063395887
617.6,621.3,,,True,60.0,177.8,32683.5,0.0,Serious,52.04550677980384
602.0,530.0,844.9,,False,48.7,177.8,,0.0,Non Serious,37.99157442824911
564.5,403.6,1347.6,30.90050321785092,True,,114.3,32683.6,0.0,Serious,54.01401014703119
603.2,463.3,1762.4,,True,53.5,177.8,32683.6,547.1,Serious,62.50051213978598
607.8,585.8,584.7,,False,,73.0,,0.0,Non Serious,49.140492241120135
596.7,507.2,601.0,,False,48.1,177.8,,293.3,Non Serious,29.67199901378995
591.9,528.3,611.8,,False,,177.8,,0.0,Non Serious,39.478592406931334
377.1,574.6,1875.0,18.422623497521904,True,35.7,139.7,32683.6,594.0,Serious,53.952805518593664
330.1,408.0,445.1,,False,35.7,114.3,32683.5,279.0,Non Serious,36.132421569544604
44.5,781.1,1863.5,,True,53.5,114.3,32683.6,0.0,Serious,56.827301341012316
607.8,585.0,1105.4,,True,,73.0,32683.5,255.1,Non Serious,32.86778075745546
522.5,166.9,432.9,,False,35.7,139.7,32683.5,0.0,Non Serious,49.76017325993055
604.6,487.3,,22.017888123422352,True,35.7,114.3,32683.5,0.0,Serious,55.90256182462028
627.8,376.6,2808.9,12.11681094509575,False,35.7,139.7,32683.6,180.9,Non Serious,48.832982628218815
399.5,352.2,,37.794764222943996,True,35.7,139.7,32683.7,0.0,Serious,56.336947693508776
611.9,587.6,,,False,25.3,114.3,32683.5,88.0,Non Serious,31.327023709666943
120.9,1092.3,611.0,16.850219797623584,True,,177.8,32683.6,0.0,Non Serious,41.94371511406871
312.9,458.0,1651.3,,False,,139.7,,169.3,Non Serious,45.014316194454004
356.9,356.0,650.0,16.377811531021592,True,35.7,139.7,32683.5,0.0,Serious,60.989890046802564
132.2,1082.3,,,False,,177.8,32683.6,242.2,Non Serious,44.961832714315705
85.1,1061.3,,,False,53.6,139.7,32683.5,0.0,Non Serious,47.28712623676574
109.0,768.6,403.0,,False,,,,0.0,Non Serious,44.17380195687276
119.7,1146.1,534.9,,True,53.6,177.8,32683.6,0.0,Non Serious,49.89166366423544
363.2,396.4,,,False,35.7,139.7,32683.3,0.0,Non Serious,46.1769058861233
586.5,528.4,387.8,,True,53.6,177.8,32683.5,87.5,Non Serious,44.915045383224445
215.1,573.4,670.6,,True,,177.8,32683.5,0.0,Non Serious,44.24580581814398
533.5,178.4,1043.7,25.073812652419484,True,35.7,139.7,32683.5,618.1,Serious,60.6762141224743
85.9,554.5,,,True,81.1,,32683.5,0.0,Serious,54.851598296688664
120.4,953.7,,,False,35.7,139.7,,0.0,Non Serious,39.562485509972014
599.4,543.4,,,True,48.1,177.8,32683.5,202.3,Non Serious,32.888983034010124
515.9,457.3,,,True,25.3,114.3,,0.0,Serious,56.7531437956574
618.7,620.3,,,False,60.3,177.8,,0.0,Non Serious,41.259405068002096
583.1,721.0,1023.7,,True,96.7,,32683.5,0.0,Serious,65.81399305237969
595.9,455.2,1780.0,25.049286046416853,True,,114.3,32683.5,740.7,Serious,50.987669992674626
431.1,642.3,602.0,,True,35.7,,32683.5,0.0,Non Serious,39.238975174034216
526.1,454.1,3086.4,68.0440204702038,True,35.7,139.7,32683.8,415.7,Serious,58.28987637511668
82.8,680.6,,,False,,,,0.0,Non Serious,44.082167345287985
606.0,592.9,1455.5,,True,53.6,177.8,32683.5,0.0,Non Serious,48.89249380709567
617.6,621.3,2178.0,52.73848289425479,False,60.0,177.8,32683.5,0.0,Serious,51.04526575048686
509.2,522.4,1693.6,,True,25.3,114.3,32683.5,205.0,Non Serious,42.72896107675401
624.6,403.5,1907.9,,True,35.7,139.7,32683.6,727.4,Serious,62.45568942295216
617.2,590.3,,,False,48.0,177.8,32683.3,0.0,Non Serious,38.56335400970481
332.0,196.9,642.6,,True,,177.8,,211.4,Non Serious,44.70777787423845
635.8,405.6,,40.121223426365695,True,,114.3,32683.6,0.0,Serious,62.9298012059479
130.5,952.9,,60.88070966426748,True,35.7,139.7,32683.5,0.0,Serious,59.60054911438178
390.7,412.3,1140.2,,True,25.3,114.3,32683.5,0.0,Non Serious,43.216422184222466
625.9,370.1,570.0,,False,35.7,139.7,,0.0,Non Serious,32.02222473149631
593.0,447.2,452.2,,True,48.1,177.8,32683.5,0.0,Serious,58.38041554857467
603.6,482.7,4306.6,66.35130407904067,True,48.1,177.8,32683.6,826.2,Serious,57.6459131339762
385.7,615.9,603.3,,True,,114.3,32683.6,323.0,Serious,61.370796058131894
